127.0.0.1, 2018-08-11 11:22:13, GET, /, HTTP/1.1, 303, 0.051000
127.0.0.1, 2018-08-11 13:11:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:11:48, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-08-11 13:11:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-08-11 13:11:51, GET, /admin/default/index, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-08-11 13:11:51, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-08-11 13:11:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-08-11 13:32:16, GET, /, HTTP/1.1, 303, 0.059000
127.0.0.1, 2018-08-11 13:32:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.437000
127.0.0.1, 2018-08-11 13:32:16, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:32:16, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.007000
00
127.0.0.1, 2018-08-11 13:32:16, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-08-11 13:32:16, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.027000
127.0.0.1, 2018-08-11 13:32:16, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.038000
127.0.0.1, 2018-08-11 13:32:16, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-08-11 13:32:16, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-08-11 13:32:16, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2018-08-11 13:32:18, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-08-11 13:32:20, GET, /admin/default/index, HTTP/1.1, 200, 0.266000
127.0.0.1, 2018-08-11 13:32:20, GET, /admin/static/_2.17.1/css/calendar.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-08-11 13:32:20, GET, /admin/static/_2.17.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-08-11 13:32:20, GET, /admin/static/_2.17.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-08-11 13:32:20, GET, /admin/static/_2.17.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-08-11 13:32:20, GET, /admin/static/_2.17.1/js/web2py.js, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-08-11 13:32:20, GET, /admin/static/_2.17.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-08-11 13:32:20, GET, /admin/static/_2.17.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-08-11 13:32:20, GET, /admin/static/_2.17.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-08-11 13:32:20, GET, /admin/static/_2.17.1/js/jquery.js, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-08-11 13:32:20, GET, /admin/static/_2.17.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-08-11 13:32:20, GET, /admin/static/_2.17.1/images/questions.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-08-11 13:32:20, GET, /admin/static/_2.17.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-08-11 13:32:20, GET, /admin/static/_2.17.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-08-11 13:32:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:32:23, POST, /admin/default/index, HTTP/1.1, 303, 0.018000
127.0.0.1, 2018-08-11 13:32:23, GET, /admin/default/site, HTTP/1.1, 200, 0.040000
127.0.0.1, 2018-08-11 13:32:24, GET, /admin/static/_2.17.1/images/folder.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:32:24, GET, /admin/static/_2.17.1/images/folder_locked.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:32:24, GET, /admin/static/_2.17.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:32:24, POST, /admin/default/check_version, HTTP/1.1, 200, 0.360000
127.0.0.1, 2018-08-11 13:32:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:32:49, POST, /admin/default/site, HTTP/1.1, 303, 0.585000
127.0.0.1, 2018-08-11 13:32:49, GET, /admin/default/design/find_my_pill, HTTP/1.1, 200, 0.107000
127.0.0.1, 2018-08-11 13:32:49, GET, /admin/static/_2.17.1/images/search.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:32:49, GET, /admin/static/_2.17.1/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:32:49, GET, /admin/static/_2.17.1/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:32:49, GET, /admin/static/_2.17.1/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:32:51, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-08-11 13:33:10, GET, /admin/default/peek/find_my_pill/controllers/default.py, HTTP/1.1, 200, 0.041000
127.0.0.1, 2018-08-11 13:33:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:33:12, GET, /admin/default/design/find_my_pill, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-08-11 13:33:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/default/edit/find_my_pill/controllers/default.py, HTTP/1.1, 200, 0.049000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.038000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-08-11 13:33:14, GET, /admin/static/_2.17.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/static/_2.17.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/static/_2.17.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/static/_2.17.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/static/_2.17.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/static/_2.17.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/static/_2.17.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/static/_2.17.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/static/_2.17.1/js/ajax_editor.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/static/_2.17.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/static/_2.17.1/js/typeahead.min.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/static/_2.17.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.046000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/static/_2.17.1/images/files_toggle.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/static/_2.17.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/default/edit/find_my_pill/controllers/default.py, HTTP/1.1, 200, 0.044000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.070000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.151000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.164000
127.0.0.1, 2018-08-11 13:33:15, GET, /admin/static/_2.17.1/images/save_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:33:15, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.098000
127.0.0.1, 2018-08-11 13:33:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:33:15, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.344000
127.0.0.1, 2018-08-11 13:33:19, GET, /admin/default/design/find_my_pill, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-08-11 13:33:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:33:31, GET, /admin/default/peek/find_my_pill/views/layout.html, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-08-11 13:33:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:33:37, GET, /admin/default/edit/find_my_pill/views/layout.html, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-08-11 13:33:38, GET, /admin/default/edit/find_my_pill/views/layout.html, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-08-11 13:33:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-08-11 13:33:38, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.038000
127.0.0.1, 2018-08-11 13:33:38, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.082000
127.0.0.1, 2018-08-11 13:33:38, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-08-11 13:33:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:33:39, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 1.000000
127.0.0.1, 2018-08-11 13:34:18, POST, /admin/default/create_file, HTTP/1.1, 303, 0.030000
127.0.0.1, 2018-08-11 13:34:18, GET, /admin/default/design/find_my_pill, HTTP/1.1, 200, 0.059000
127.0.0.1, 2018-08-11 13:34:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:34:24, GET, /admin/default/peek/find_my_pill/views/home_page.html, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-08-11 13:34:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:34:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-08-11 13:34:39, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.899000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill, HTTP/1.1, 200, 0.295000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:34:52, GET, /find_my_pill/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:35:00, GET, /find_my_pill/home_page, HTTP/1.1, 404, 0.181000
127.0.0.1, 2018-08-11 13:35:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-08-11 13:35:14, POST, /admin/default/create_file, HTTP/1.1, 303, 0.029000
127.0.0.1, 2018-08-11 13:35:14, GET, /admin/default/design/find_my_pill, HTTP/1.1, 200, 0.059000
127.0.0.1, 2018-08-11 13:35:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:35:18, GET, /admin/default/peek/find_my_pill/controllers/home_page.py, HTTP/1.1, 200, 0.049000
127.0.0.1, 2018-08-11 13:35:19, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-08-11 13:35:20, GET, /admin/default/edit/find_my_pill/controllers/home_page.py, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-08-11 13:35:20, GET, /admin/default/edit/find_my_pill/controllers/home_page.py, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-08-11 13:35:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-08-11 13:35:20, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-08-11 13:35:21, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-08-11 13:35:21, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.334000
127.0.0.1, 2018-08-11 13:35:21, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.302000
127.0.0.1, 2018-08-11 13:35:22, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 1.193000
127.0.0.1, 2018-08-11 13:35:23, GET, /find_my_pill/home_page, HTTP/1.1, 200, 0.061000
127.0.0.1, 2018-08-11 13:35:38, GET, /admin/default/edit/find_my_pill/views/home_page.html, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-08-11 13:35:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046000
127.0.0.1, 2018-08-11 13:35:39, GET, /admin/default/edit/find_my_pill/views/home_page.html, HTTP/1.1, 200, 0.095000
127.0.0.1, 2018-08-11 13:35:39, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.086000
127.0.0.1, 2018-08-11 13:35:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.101000
127.0.0.1, 2018-08-11 13:35:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:35:40, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.444000
127.0.0.1, 2018-08-11 13:35:40, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.197000
127.0.0.1, 2018-08-11 13:35:40, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 1.347000
127.0.0.1, 2018-08-11 13:35:40, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.118000
127.0.0.1, 2018-08-11 13:35:54, GET, /find_my_pill/home_page, HTTP/1.1, 200, 0.295000
127.0.0.1, 2018-08-11 13:35:55, GET, /find_my_pill/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:35:57, GET, /find_my_pill/home_page, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-08-11 13:35:58, GET, /find_my_pill/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:36:08, POST, /admin/default/edit/find_my_pill/views/home_page.html, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-08-11 13:36:11, GET, /find_my_pill/home_page, HTTP/1.1, 200, 0.065000
127.0.0.1, 2018-08-11 13:36:13, GET, /find_my_pill/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:36:15, GET, /find_my_pill/home_page, HTTP/1.1, 200, 0.239000
127.0.0.1, 2018-08-11 13:36:15, GET, /find_my_pill/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:36:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:36:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-08-11 13:36:21, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.154000
127.0.0.1, 2018-08-11 13:36:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.044000
127.0.0.1, 2018-08-11 13:36:39, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.906000
127.0.0.1, 2018-08-11 13:36:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043000
127.0.0.1, 2018-08-11 13:36:40, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.152000
127.0.0.1, 2018-08-11 13:36:46, GET, /find_my_pill/home_page, HTTP/1.1, 200, 0.054000
127.0.0.1, 2018-08-11 13:36:48, GET, /find_my_pill/static/images/favicon.ico, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-08-11 13:37:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-08-11 13:37:21, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.134000
127.0.0.1, 2018-08-11 13:37:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046000
127.0.0.1, 2018-08-11 13:37:39, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.153000
127.0.0.1, 2018-08-11 13:37:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046000
127.0.0.1, 2018-08-11 13:37:40, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.157000
127.0.0.1, 2018-08-11 13:38:02, GET, /admin/default/index, HTTP/1.1, 303, 0.008000
127.0.0.1, 2018-08-11 13:38:02, GET, /admin/default/site, HTTP/1.1, 200, 0.064000
127.0.0.1, 2018-08-11 13:38:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:38:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045000
127.0.0.1, 2018-08-11 13:38:21, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.162000
127.0.0.1, 2018-08-11 13:38:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.060000
127.0.0.1, 2018-08-11 13:38:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045000
127.0.0.1, 2018-08-11 13:38:39, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 1.002000
127.0.0.1, 2018-08-11 13:38:40, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.116000
127.0.0.1, 2018-08-11 13:39:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-08-11 13:39:21, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.158000
127.0.0.1, 2018-08-11 13:39:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043000
127.0.0.1, 2018-08-11 13:39:39, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.156000
127.0.0.1, 2018-08-11 13:39:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043000
127.0.0.1, 2018-08-11 13:39:40, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.154000
127.0.0.1, 2018-08-11 13:40:04, POST, /admin/default/edit/find_my_pill/views/home_page.html, HTTP/1.1, 200, 0.040000
127.0.0.1, 2018-08-11 13:40:06, GET, /find_my_pill/home_page, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-08-11 13:40:08, GET, /find_my_pill/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:40:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043000
127.0.0.1, 2018-08-11 13:40:21, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.154000
